,ds,y
719,2017-12-20,6283
720,2017-12-21,5259
721,2017-12-22,4442
722,2017-12-23,1324
723,2017-12-24,4247
724,2017-12-25,5073
725,2017-12-26,3683
726,2017-12-27,6586
727,2017-12-28,6144
728,2017-12-29,5516
729,2017-12-30,1977
730,2017-12-31,6701
731,2018-01-01,6992
732,2018-01-02,2757
733,2018-01-03,7083
734,2018-01-04,6882
735,2018-01-05,7113
736,2018-01-06,6837
737,2018-01-07,4804
738,2018-01-08,6536
739,2018-01-09,5589
740,2018-01-10,1962
741,2018-01-11,2524
742,2018-01-12,5937
743,2018-01-13,7159
744,2018-01-14,7209
745,2018-01-15,5944
746,2018-01-16,1230
747,2018-01-17,7602
748,2018-01-18,7575
749,2018-01-19,7692
750,2018-01-20,7077
751,2018-01-21,4147
752,2018-01-22,6516
753,2018-01-23,7663
754,2018-01-24,7847
755,2018-01-25,6401
756,2018-01-26,6035
757,2018-01-27,1707
758,2018-01-28,1454
759,2018-01-29,8458
760,2018-01-30,7972
761,2018-01-31,5515
762,2018-02-01,8300
763,2018-02-02,8473
764,2018-02-03,787
765,2018-02-04,8931
766,2018-02-05,6215
767,2018-02-06,1427
768,2018-02-07,7226
769,2018-02-08,8846
770,2018-02-09,2007
771,2018-02-10,1653
772,2018-02-11,1207
773,2018-02-12,2339
774,2018-02-13,4924
775,2018-02-14,5096
776,2018-02-15,6886
777,2018-02-16,1227
778,2018-02-17,10056
779,2018-02-18,1655
780,2018-02-19,5346
781,2018-02-20,5107
782,2018-02-21,5264
783,2018-02-22,6377
784,2018-02-23,7316
785,2018-02-24,3013
786,2018-02-25,1884
787,2018-02-26,10952
788,2018-02-27,2759
789,2018-02-28,896
790,2018-03-01,11458
791,2018-03-02,11559
792,2018-03-03,11625
793,2018-03-04,9931
794,2018-03-05,1158
795,2018-03-06,5320
796,2018-03-07,5645
797,2018-03-08,11494
798,2018-03-09,3215
799,2018-03-10,1689
800,2018-03-11,835
801,2018-03-12,12285
802,2018-03-13,9997
803,2018-03-14,11848
804,2018-03-15,12122
805,2018-03-16,8163
806,2018-03-17,12713
807,2018-03-18,6530
808,2018-03-19,2500
809,2018-03-20,3815
810,2018-03-21,11939
811,2018-03-22,13306
812,2018-03-23,5161
813,2018-03-24,10810
814,2018-03-25,13660
815,2018-03-26,3629
816,2018-03-27,9645
817,2018-03-28,10175
818,2018-03-29,5421
819,2018-03-30,14111
820,2018-03-31,11750
821,2018-04-01,11210
822,2018-04-02,8332
823,2018-04-03,7108
824,2018-04-04,14155
825,2018-04-05,10270
826,2018-04-06,1386
827,2018-04-07,13609
